Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2010-01-04,23.07738494873047,23.18922982283887,22.80895611312252,22.831325656818095,38409100
2010-01-05,23.084840774536133,23.18923055958063,22.846237989608337,23.00282195608269,49749600
2010-01-06,22.94316291809082,23.174309104175542,22.756754382367983,23.02518170672357,58182400
2010-01-07,22.70456314086914,22.890971700573537,22.510698068114436,22.83877610922137,50559700
2010-01-08,22.86115074157715,23.025189798676656,22.547984234616443,22.577810293462587,51197400
2010-01-11,22.570350646972656,22.93571128403326,22.45850578618832,22.89842871564877,68754700
2010-01-12,22.421220779418945,22.667280015258527,22.301919417932144,22.480871460162348,65912100
2010-01-13,22.630002975463867,22.756760872795226,22.37648718080115,22.562895769689344,51863500
2010-01-14,23.084840774536133,23.18923055958063,22.56289753805277,22.600178689878447,63228100
2010-01-15,23.010276794433594,23.29361722534593,22.89843050273575,23.17431584157393,79913200
2010-01-19,23.189226150512695,23.293614493524604,22.87605969929246,22.92825387079841,46575700
2010-01-20,22.808958053588867,23.06993039683378,22.600179894555968,22.972997121424456,54849500
2010-01-21,22.376493453979492,22.905893312188883,22.369036937671392,22.823874477169934,73086700
2010-01-22,21.593570709228516,22.518158581121483,21.50409538109997,22.36903113799431,102004600
2010-01-25,21.861995697021484,22.115511452486352,21.697956676149577,21.80234501468766,63373000
2010-01-26,21.99620246887207,22.257174647007346,21.690492650028567,21.772512843146956,66639900
2010-01-27,22.12297248840332,22.23481736287191,21.638310417582925,21.884369710287725,63949500
2010-01-28,21.742692947387695,22.27209396379,21.54137137401565,22.249724426020542,117513700
2010-01-29,21.011972427368164,22.309375792110025,20.62424229385421,22.294462766470783,193888500
2010-02-01,21.1834659576416,21.235660120271604,20.818105397047326,21.168552933408954,85931100
2010-02-02,21.220752716064453,21.25057877242877,20.98214995388848,21.153646933614024,54413700
2010-02-03,21.34750747680664,21.46681026256214,20.96723526928914,21.071623606867714,61397900
2010-02-04,20.758455276489258,21.25057371183059,20.736085739543086,21.16109698623021,77850000
2010-02-05,20.892671585083008,21.086536656650825,20.557135610795548,20.87775855907369,80960100
2010-02-08,20.668977737426758,20.937406481479133,20.55713290146635,20.885212319509893,52820600
2010-02-09,20.885217666625977,21.13127693760964,20.691352570974512,20.855391610902082,59195800
2010-02-10,20.87030601501465,21.05671460902748,20.75846114304389,20.90013207270536,48591300
2010-02-11,20.96723747253418,21.17601416962966,20.654071004706374,20.825566555087544,65993700
2010-02-12,20.825559616088867,20.922491418559513,20.564587409489896,20.736082902729407,81117200
2010-02-16,21.23757553100586,21.252558290324917,20.990365717579742,21.0727680361654,51935600
2010-02-17,21.41737174987793,21.46231861451675,21.245074244733242,21.372424885239113,45882900
2010-02-18,21.70203399658203,21.74698228356397,21.357439036062985,21.417368656537377,42856500
2010-02-19,21.552215576171875,21.664583461589675,21.492285942026705,21.567198341916963,44451800
2010-02-22,21.522241592407227,21.679557713278665,21.462311981797775,21.6046453428082,36707100
2010-02-23,21.222604751586914,21.59716537299073,21.042815824773328,21.484797472336663,52266200
2010-02-24,21.447336196899414,21.567196885933246,21.260055924234493,21.364933848534708,43165900
2010-02-25,21.42486000061035,21.462315477528932,20.990369895714476,21.177650137977093,48735300
2010-02-26,21.477291107177734,21.612133065439103,21.357431906241935,21.462308349852165,40370600
2010-03-01,21.739490509033203,21.76196322328268,21.37242141166515,21.552210269835125,43805400
2010-03-02,21.319984436035156,21.949246233489387,21.155178319115244,21.784440116569474,93123900
2010-03-03,21.319984436035156,21.432353736808064,21.237582091992707,21.357441345904466,48442100
2010-03-04,21.447336196899414,21.462318961633027,21.177653575869787,21.31998555433386,42890600
2010-03-05,21.41737174987793,21.48479276125369,21.29002110937206,21.469809996762397,56001800
2010-03-08,21.447336196899414,21.672073381398373,21.34995108380109,21.364933848534708,39414500
2010-03-09,21.574678421020508,21.80690689727067,21.387398221432363,21.394889600876034,50271600
2010-03-10,21.70203399658203,21.806911904038362,21.574683374469586,21.619631661451525,44891400
2010-03-11,21.859359741210938,21.86685112566386,21.612149769606404,21.64211387858261,35349700
2010-03-12,21.926773071289062,22.009175413658745,21.754475575892933,21.96422855156301,31700200
2010-03-15,21.941753387451172,22.001683006505658,21.73199900634305,21.859349625438192,37512000
2010-03-16,22.001686096191406,22.091579822979455,21.874335459212478,22.039141577547255,36723500
2010-03-17,22.19645118713379,22.37624145685382,22.02415372655635,22.099066100800577,50385700
2010-03-18,22.181474685668945,22.263877029330597,22.099070913172287,22.196456020712425,43845200
2010-03-19,22.166492462158203,22.398719592595846,21.986703577738574,22.293843100559823,81332100
2010-03-22,22.173974990844727,22.248887353317965,22.01665888676748,22.099062628371488,37718200
2010-03-23,22.383739471435547,22.39872223744845,22.031653043143603,22.166495079589303,42026600
2010-03-24,22.211444854736328,22.36126967679665,22.173989363638945,22.26388311380682,33987700
2010-03-25,22.48113250732422,22.900640074863837,22.323816276474602,22.346290431977582,73168700
2010-03-26,22.218929290771484,22.62345532653614,22.166491048098646,22.541051557287425,55595500
2010-03-29,22.166492462158203,22.33878996445597,22.136526933670744,22.256386189950497,33336000
2010-03-30,22.30133819580078,22.36875921728796,22.09907513133924,22.19646025746779,34954800
2010-03-31,21.941753387451172,22.26387419684728,21.851858244452025,22.20394457779279,63760000
2010-04-01,21.844369888305664,22.129036689859063,21.439845260881125,21.986703289082364,74768100
2010-04-05,21.926773071289062,22.046632322767675,21.746984194071146,21.82189515461904,34331200
2010-04-06,21.964231491088867,22.159003158017118,21.70953019040078,21.836880840744822,47366800
2010-04-07,21.98670768737793,22.14402245483641,21.829391491084138,21.84437425812837,58318800
2010-04-08,22.413705825805664,22.458652696658234,21.949250064211586,21.964232830774197,63713800
2010-04-09,22.728334426879883,22.78077267558598,22.39872074079642,22.436177653325856,54752500
2010-04-12,22.71334457397461,22.840695179163617,22.63094082095976,22.660906341632316,37068800
2010-04-13,22.81073760986328,22.848193092579383,22.571017662440983,22.586000427061453,41374600
2010-04-14,23.08791160583496,23.222753629717904,22.96805234656903,23.065438887744524,68941200
2010-04-15,23.125370025634766,23.185299659176394,23.005509329716336,23.087913111649264,52745400
2010-04-16,22.975547790527344,23.20777496780415,22.923109533932774,23.065442965286124,88703100
2010-04-19,23.252714157104492,23.410028865238203,23.04295978409144,23.050451164788488,64970300
2010-04-20,23.492435455322266,23.552365079286457,23.32013653619464,23.387557541758724,52199500
2010-04-21,23.469966888427734,23.597317548222346,23.395054483459973,23.469966888427734,55343100
2010-04-22,23.514909744262695,23.619787664841805,23.14784059432341,23.25271851490252,84847600
2010-04-23,23.192781448364258,23.657237016431583,22.960554378747926,23.312642102087008,126766600
2010-04-26,23.305158615112305,23.432509263292403,23.117878334190696,23.22275483427955,63649300
2010-04-27,23.11038589477539,23.41003404478158,23.035473500065073,23.185298289485708,68730900
2010-04-28,23.155332565307617,23.222753577096316,22.938088194193536,23.162823947599147,64557900
2010-04-29,23.222749710083008,23.544871950804183,22.975539850967774,23.170311471609295,52665200
2010-04-30,22.87816047668457,23.282685152388883,22.86317771084936,23.275193769471276,63214800
